particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,-7.20551586,1.46169937,0.0193672646,0.105658367,-1
4503599660924928,13,0,0,0,0,0,-1.79962981,1.526636,0.883560121,0.105658367,-1
4503599677702144,13,0,0,0,0,0,-1.42134881,1.38401783,0.605056047,0.105658367,-1
4503599694479360,13,0,0,0,0,0,-0.255151689,-4.45359755,1.4884274,0.105658367,-1
4503599711256576,13,0,0,0,0,0,-4.76473951,-2.62062359,0.949920058,0.105658367,-1
4503599728033792,13,0,0,0,0,0,2.36898351,-3.4989872,0.564966738,0.105658367,-1
4503599744811008,13,0,0,0,0,0,5.85274315,3.53955722,0.148825943,0.105658367,-1
4503599761588224,13,0,0,0,0,0,0.299741924,-4.15394497,-1.81464458,0.105658367,-1
4503599778365440,13,0,0,0,0,0,3.58154082,4.60098696,-0.62085557,0.105658367,-1
4503599795142656,13,0,0,0,0,0,9.18391323,0.837767184,0.0347555541,0.105658367,-1
4503599811919872,13,0,0,0,0,0,2.78634119,8.21957874,3.82386899,0.105658367,-1
4503599828697088,13,0,0,0,0,0,-4.6179285,1.6691581,0.766860008,0.105658367,-1
4503599845474304,13,0,0,0,0,0,8.7917738,-0.780883491,2.34002972,0.105658367,-1
4503599862251520,13,0,0,0,0,0,2.37121987,6.65878296,0.407523245,0.105658367,-1
4503599879028736,13,0,0,0,0,0,-1.8827188,-1.4907639,-1.15161288,0.105658367,-1
4503599895805952,13,0,0,0,0,0,6.82090807,2.56382847,3.78154278,0.105658367,-1
4503599912583168,13,0,0,0,0,0,-3.32620358,-3.25556302,1.75253308,0.105658367,-1
4503599929360384,13,0,0,0,0,0,-2.48028231,-0.758499444,-1.05730379,0.105658367,-1
4503599946137600,13,0,0,0,0,0,-1.39626265,6.31179523,-1.479002,0.105658367,-1
4503599962914816,13,0,0,0,0,0,7.65671635,4.64480639,0.382054538,0.105658367,-1
4503599979692032,13,0,0,0,0,0,-7.47627926,1.62763882,-0.569489121,0.105658367,-1
4503599996469248,13,0,0,0,0,0,-1.41824424,0.82302916,-0.853133798,0.105658367,-1
4503600013246464,13,0,0,0,0,0,-2.08245444,-1.0499177,-0.831982791,0.105658367,-1
4503600030023680,13,0,0,0,0,0,8.99393463,1.47833991,-3.5248754,0.105658367,-1
4503600046800896,13,0,0,0,0,0,0.615644276,1.06488192,0.306821734,0.105658367,-1
